~id, initials:String, department:String, title:String, ~label
3,B.A.,Strategic Advisor,Corporate,Employee
8,B.B.,Corporate,Employee
13,R.D.,VP - Domains,Products,Employee
64,A.E.,Eng - Security I,Accounting and Finance,Employee
68,L.E.,Spec - Domain Srvcs IV,Domain Services,Employee
71,P.L.,Eng - Software Development V,Products,Employee
85,S.E.,Sr. Dir - Marketing (Mgr),Marketing and Brand,Employee
97,J.Y.,Sr. Dir - Software Development,Products,Employee
106,J.Y.,Dir - Product Mgr,Products,Employee
113,L.A.,Spec - Domain Srvcs IV,Domain Services,Employee
132,B.N.,Dir - Abuse,Legal,Employee
159,K.N.,Spec - Domain Srvcs IV,Domain Services,Employee
178,B.N.,Director Brand Writing,Marketing and Brand,Employee
212,M.E.,Prem Svcs II,Premier Services - Gold,Employee
219,E.N.,Mgr - Marketing Ops Technology,Global Platform,Employee
251,S.R.,Sr. Mgr - Prod Hlth & Sol Effctvns,C3 Management,Employee
256,M.L.,Eng - Software Development II,Products,Employee
260,D.D.,Eng - Site Reliability VI,Cloud Infrastructure and IT,Employee
261,B.L.,Eng - Software Development VII,Global Platform,Employee
262,N.A.,Chief Legal Officer EVP Corporate Secretary,Corporate,Employee
263,R.D.,Sr. Mgr - Software Development,Global Platform,Employee
307,A.M.,Eng - System III,Cloud Infrastructure and IT,Employee
327,E.N.,Sr. Mgr - Product Mktg,Products,Employee
339,D.S.,Mgr - Legal,Legal,Employee
343,M.K.,Eng - Software Development IV,Products,Employee
347,D.N.,Sr. Mgr - Program Management,IT Project Management & Management,Employee
372,J.N.,Eng - Software Development IV,Global Platform,Employee
383,N.K.,Dir - Communications (Mgr),Corporate Communications,Employee
440,D.L.,Eng - Software Development IV,Products,Employee
466,D.A.,Aftermarket Sales,Aftermarket,Employee
489,P.P.,Sr. Dir - Engineering Excellence,Technology Engineering,Employee
505,R.Y.,Eng - Software Development IV,Products,Employee
506,P.R.,Eng - System V,Cloud Infrastructure and IT,Employee
507,S.N.,Dir - Tax,Accounting and Finance,Employee
518,K.N.,Principal Software Development Engineer - Domains,Products,Employee
521,J.E.,Eng - Site Reliability V,Cloud Infrastructure and IT,Employee
562,S.N.,Dir - Software Development,Global Platform,Employee
600,A.L.,Eng - Software Development III,Products,Employee
603,T.D.,Chief Privacy and Risk Officer,Cloud Infrastructure and IT,Employee
623,R.D.,Dir - C3 Site Operations,Office of the CEO,Employee
639,B.O.,Eng - Software Development V,Technology Engineering,Employee
655,R.O.,Consultant - SalesSupport,C3 Support,Employee
669,M.L.,The Wolf X,Global Platform,Employee
681,S.T.,Mgr - Product,Cloud Infrastructure and IT,Employee
683,E.N.,Eng - Site Reliability IV,Cloud Infrastructure and IT,Employee
710,S.N.,Advisor - GoDaddy Business,CDT GoDaddy Business Advisors,Employee
726,B.Y.,Designer - Visual III,Global Platform,Employee
789,M.L.,Sr. Dir - Finance,Accounting and Finance,Employee
792,P.R.,Creative Dir - Sr,Customer Experience,Employee
837,E.C.,Eng - Security II,Cloud Infrastructure and IT,Employee
